"_id","ReportedYear","Category","Subtype","AssaultSubtype","Sex","AgeGroup","AgeCohort","Count_"
898,2020,"Crimes Against the Person","Robbery","N/A","M","Adult","55-64","138"
899,2020,"Crimes Against the Person","Robbery","N/A","M","Adult","65+","84"
900,2020,"Crimes Against the Person","Robbery","N/A","M","Child","<12","4"
901,2020,"Crimes Against the Person","Robbery","N/A","M","Unknown","Unknown","22"
902,2020,"Crimes Against the Person","Robbery","N/A","M","Youth","12-17","235"
903,2020,"Crimes Against the Person","Sexual Violation","N/A","F","Adult","18-24","449"
904,2020,"Crimes Against the Person","Sexual Violation","N/A","F","Adult","25-34","455"
905,2020,"Crimes Against the Person","Sexual Violation","N/A","F","Adult","35-44","222"
906,2020,"Crimes Against the Person","Sexual Violation","N/A","F","Adult","45-54","104"
907,2020,"Crimes Against the Person","Sexual Violation","N/A","F","Adult","55-64","51"
908,2020,"Crimes Against the Person","Sexual Violation","N/A","F","Adult","65+","57"
909,2020,"Crimes Against the Person","Sexual Violation","N/A","F","Child","<12","208"
910,2020,"Crimes Against the Person","Sexual Violation","N/A","F","Unknown","Unknown","19"
911,2020,"Crimes Against the Person","Sexual Violation","N/A","F","Youth","12-17","390"
912,2020,"Crimes Against the Person","Sexual Violation","N/A","M","Adult","18-24","28"
913,2020,"Crimes Against the Person","Sexual Violation","N/A","M","Adult","25-34","42"
914,2020,"Crimes Against the Person","Sexual Violation","N/A","M","Adult","35-44","15"
915,2020,"Crimes Against the Person","Sexual Violation","N/A","M","Adult","45-54","15"
916,2020,"Crimes Against the Person","Sexual Violation","N/A","M","Adult","55-64","7"
917,2020,"Crimes Against the Person","Sexual Violation","N/A","M","Adult","65+","3"
918,2020,"Crimes Against the Person","Sexual Violation","N/A","M","Child","<12","86"
919,2020,"Crimes Against the Person","Sexual Violation","N/A","M","Unknown","Unknown","9"
920,2020,"Crimes Against the Person","Sexual Violation","N/A","M","Youth","12-17","58"
921,2020,"Crimes Against the Person","Sexual Violation","N/A","U","Adult","25-34","1"
922,2020,"Crimes Against the Person","Sexual Violation","N/A","U","Unknown","Unknown","2"
923,2021,"Crimes Against the Person","Assault","Aggravated Peace Officer","M","Unknown","Unknown","4"
924,2021,"Crimes Against the Person","Assault","Assault Peace Officer","F","Adult","18-24","1"
925,2021,"Crimes Against the Person","Assault","Assault Peace Officer","F","Adult","25-34","16"
926,2021,"Crimes Against the Person","Assault","Assault Peace Officer","F","Adult","35-44","4"
927,2021,"Crimes Against the Person","Assault","Assault Peace Officer","F","Adult","45-54","1"
928,2021,"Crimes Against the Person","Assault","Assault Peace Officer","F","Adult","55-64","3"
929,2021,"Crimes Against the Person","Assault","Assault Peace Officer","F","Adult","65+","7"
930,2021,"Crimes Against the Person","Assault","Assault Peace Officer","F","Unknown","Unknown","42"
931,2021,"Crimes Against the Person","Other","N/A","M","Adult","55-64","176"
932,2021,"Crimes Against the Person","Other","N/A","M","Adult","65+","95"
933,2021,"Crimes Against the Person","Other","N/A","M","Child","<12","44"
934,2021,"Crimes Against the Person","Other","N/A","M","Unknown","Unknown","58"
935,2021,"Crimes Against the Person","Other","N/A","M","Youth","12-17","98"
936,2021,"Crimes Against the Person","Other","N/A","U","Adult","25-34","2"
937,2021,"Crimes Against the Person","Other","N/A","U","Adult","35-44","2"
938,2021,"Crimes Against the Person","Other","N/A","U","Adult","65+","1"
939,2021,"Crimes Against the Person","Other","N/A","U","Unknown","Unknown","6"
940,2021,"Crimes Against the Person","Other","N/A","U","Youth","12-17","1"
941,2021,"Crimes Against the Person","Robbery","N/A","F","Adult","18-24","94"
942,2021,"Crimes Against the Person","Robbery","N/A","F","Adult","25-34","136"
943,2021,"Crimes Against the Person","Robbery","N/A","F","Adult","35-44","83"
944,2021,"Crimes Against the Person","Robbery","N/A","F","Adult","45-54","66"
945,2021,"Crimes Against the Person","Robbery","N/A","F","Adult","55-64","65"
946,2021,"Crimes Against the Person","Robbery","N/A","F","Adult","65+","31"
947,2021,"Crimes Against the Person","Robbery","N/A","F","Child","<12","2"
948,2021,"Crimes Against the Person","Robbery","N/A","F","Unknown","Unknown","8"
949,2021,"Crimes Against the Person","Robbery","N/A","F","Youth","12-17","35"
950,2021,"Crimes Against the Person","Robbery","N/A","M","Adult","18-24","295"
951,2021,"Crimes Against the Person","Robbery","N/A","M","Adult","25-34","332"
952,2021,"Crimes Against the Person","Robbery","N/A","M","Adult","35-44","145"
953,2021,"Crimes Against the Person","Robbery","N/A","M","Adult","45-54","130"
954,2021,"Crimes Against the Person","Robbery","N/A","M","Adult","55-64","125"
955,2021,"Crimes Against the Person","Robbery","N/A","M","Adult","65+","69"
956,2021,"Crimes Against the Person","Robbery","N/A","M","Child","<12","12"
957,2021,"Crimes Against the Person","Robbery","N/A","M","Unknown","Unknown","19"
958,2021,"Crimes Against the Person","Robbery","N/A","M","Youth","12-17","198"
959,2021,"Crimes Against the Person","Robbery","N/A","U","Adult","18-24","2"
960,2021,"Crimes Against the Person","Sexual Violation","N/A","F","Adult","18-24","457"
961,2021,"Crimes Against the Person","Sexual Violation","N/A","F","Adult","25-34","487"
962,2021,"Crimes Against the Person","Sexual Violation","N/A","F","Adult","35-44","236"
963,2021,"Crimes Against the Person","Sexual Violation","N/A","F","Adult","45-54","124"
964,2021,"Crimes Against the Person","Sexual Violation","N/A","F","Adult","55-64","59"
965,2021,"Crimes Against the Person","Sexual Violation","N/A","F","Adult","65+","51"
966,2021,"Crimes Against the Person","Sexual Violation","N/A","F","Child","<12","289"
967,2021,"Crimes Against the Person","Sexual Violation","N/A","F","Unknown","Unknown","19"
968,2021,"Crimes Against the Person","Sexual Violation","N/A","F","Youth","12-17","512"
969,2021,"Crimes Against the Person","Sexual Violation","N/A","M","Adult","18-24","47"
970,2021,"Crimes Against the Person","Sexual Violation","N/A","M","Adult","25-34","67"
971,2021,"Crimes Against the Person","Sexual Violation","N/A","M","Adult","35-44","27"
972,2021,"Crimes Against the Person","Sexual Violation","N/A","M","Adult","45-54","19"
973,2021,"Crimes Against the Person","Sexual Violation","N/A","M","Adult","55-64","16"
974,2021,"Crimes Against the Person","Sexual Violation","N/A","M","Adult","65+","14"
975,2021,"Crimes Against the Person","Sexual Violation","N/A","M","Child","<12","75"
976,2021,"Crimes Against the Person","Sexual Violation","N/A","M","Unknown","Unknown","5"
977,2021,"Crimes Against the Person","Sexual Violation","N/A","M","Youth","12-17","64"
978,2021,"Crimes Against the Person","Sexual Violation","N/A","U","Adult","18-24","1"
979,2021,"Crimes Against the Person","Sexual Violation","N/A","U","Child","<12","1"
980,2021,"Crimes Against the Person","Sexual Violation","N/A","U","Unknown","Unknown","4"
